archive,member,size_mb,suffix
data\raw\GSE135805\GSE135805_RAW.tar,GSM4030472_smith2_stdata.tsv.gz,0.063,.tsv.gz
data\raw\GSE135805\GSE135805_RAW.tar,GSM4030473_smith3_stdata.tsv.gz,0.203,.tsv.gz
data\raw\GSE135805\GSE135805_RAW.tar,GSM4030474_smith4_stdata.tsv.gz,0.087,.tsv.gz
data\raw\GSE135805\GSE135805_RAW.tar,GSM4030475_smith5_stdata.tsv.gz,0.336,.tsv.gz
data\raw\GSE238242\GSE238242_RAW.tar,GSM7660990_CF69RNA.counts.tsv.gz,9.005,.counts.tsv.gz
data\raw\GSE238242\GSE238242_RAW.tar,GSM7660991_CF77RNA.counts.tsv.gz,6.806,.counts.tsv.gz
data\raw\GSE238242\GSE238242_RAW.tar,GSM7660992_CF89RNA.counts.tsv.gz,3.383,.counts.tsv.gz
data\raw\GSE238242\GSE238242_RAW.tar,GSM7660993_CF91RNA.counts.tsv.gz,5.585,.counts.tsv.gz
data\raw\GSE238242\GSE238242_RAW.tar,GSM7660994_CF93RNA.counts.tsv.gz,5.216,.counts.tsv.gz
data\raw\GSE238242\GSE238242_RAW.tar,GSM7660995_CF97RNA.counts.tsv.gz,8.39,.counts.tsv.gz
data\raw\GSE238242\GSE238242_RAW.tar,GSM7660996_CF102RNA.counts.tsv.gz,4.871,.counts.tsv.gz
data\raw\GSE238242\GSE238242_RAW.tar,GSM7660997_CF69ATAC.counts.tsv.gz,23.504,.counts.tsv.gz
data\raw\GSE238242\GSE238242_RAW.tar,GSM7660998_CF77ATAC.counts.tsv.gz,19.827,.counts.tsv.gz
data\raw\GSE238242\GSE238242_RAW.tar,GSM7660999_CF89ATAC.counts.tsv.gz,12.926,.counts.tsv.gz
data\raw\GSE238242\GSE238242_RAW.tar,GSM7661000_CF91ATAC.counts.tsv.gz,25.436,.counts.tsv.gz
data\raw\GSE238242\GSE238242_RAW.tar,GSM7661001_CF93ATAC.counts.tsv.gz,15.411,.counts.tsv.gz
data\raw\GSE238242\GSE238242_RAW.tar,GSM7661002_CF97ATAC.counts.tsv.gz,28.738,.counts.tsv.gz
data\raw\GSE238242\GSE238242_RAW.tar,GSM7661003_CF102ATAC.counts.tsv.gz,9.479,.counts.tsv.gz
