file,zone_code,zone_label,cell_type,n_spots,mean_score,total_score,dominant_spots,dominant_fraction
Visium_control_P1.h5ad,control,Control,Adipocyte,4269,0.00664307797476395,28.359299874267304,0,0.0
Visium_control_P1.h5ad,control,Control,Cardiomyocyte,4269,0.5831410522078844,2489.4291518754585,4053,0.949402670414617
Visium_control_P1.h5ad,control,Control,Endothelial,4269,0.0954005627536589,407.26500239536983,15,0.0035137034434293743
Visium_control_P1.h5ad,control,Control,Fibroblast,4269,0.13950268900896776,595.5369793792834,118,0.027641133754977745
Visium_control_P1.h5ad,control,Control,Lymphoid,4269,0.012875122778568792,54.96389914171017,0,0.0
Visium_control_P1.h5ad,control,Control,Mast,4269,0.009976572418768656,42.58998765572339,2,0.00046849379245724994
Visium_control_P1.h5ad,control,Control,Myeloid,4269,0.04720345485628868,201.51154878149637,26,0.006090419301944249
Visium_control_P1.h5ad,control,Control,Neuronal,4269,0.016823526624412007,71.81963515961486,0,0.0
Visium_control_P1.h5ad,control,Control,Pericyte,4269,0.04091298551336554,174.65753515655751,1,0.00023424689622862497
Visium_control_P1.h5ad,control,Control,Cycling.cells,4269,0.02235054582916607,95.41448014470994,4,0.0009369875849144999
Visium_control_P1.h5ad,control,Control,vSMCs,4269,0.02517041003415522,107.45248043580864,50,0.011712344811431248
Visium_FZ_P14.h5ad,FZ,Fibrotic zone,Adipocyte,3175,0.007245971889937969,23.00596075055305,0,0.0
Visium_FZ_P14.h5ad,FZ,Fibrotic zone,Cardiomyocyte,3175,0.4190894912204385,1330.6091346248922,1747,0.5502362204724409
Visium_FZ_P14.h5ad,FZ,Fibrotic zone,Endothelial,3175,0.1428995425489487,453.7060475929121,173,0.05448818897637795
Visium_FZ_P14.h5ad,FZ,Fibrotic zone,Fibroblast,3175,0.25084557838540417,796.4347113736583,1180,0.3716535433070866
Visium_FZ_P14.h5ad,FZ,Fibrotic zone,Lymphoid,3175,0.01407340544880019,44.6830622999406,3,0.0009448818897637795
Visium_FZ_P14.h5ad,FZ,Fibrotic zone,Mast,3175,0.008885835780427951,28.212528602858743,2,0.0006299212598425197
Visium_FZ_P14.h5ad,FZ,Fibrotic zone,Myeloid,3175,0.05439468170651941,172.70311441819914,39,0.012283464566929133
Visium_FZ_P14.h5ad,FZ,Fibrotic zone,Neuronal,3175,0.012297593378232287,39.04485897588751,1,0.00031496062992125983
Visium_FZ_P14.h5ad,FZ,Fibrotic zone,Pericyte,3175,0.037649770088865414,119.5380200321477,0,0.0
Visium_FZ_P14.h5ad,FZ,Fibrotic zone,Cycling.cells,3175,0.02216904851659228,70.38672904018048,4,0.0012598425196850393
Visium_FZ_P14.h5ad,FZ,Fibrotic zone,vSMCs,3175,0.03044908103583312,96.67583228877015,26,0.008188976377952756
Visium_IZ_P10.h5ad,IZ,Infarct zone,Adipocyte,3646,0.0023722536315840983,8.649236740755622,0,0.0
Visium_IZ_P10.h5ad,IZ,Infarct zone,Cardiomyocyte,3646,0.15991347021849192,583.0445124166215,517,0.14179923203510697
Visium_IZ_P10.h5ad,IZ,Infarct zone,Endothelial,3646,0.19022210961327743,693.5498116500095,786,0.21557871640153592
Visium_IZ_P10.h5ad,IZ,Infarct zone,Fibroblast,3646,0.21407497832799774,780.5173709838798,1050,0.287986834887548
Visium_IZ_P10.h5ad,IZ,Infarct zone,Lymphoid,3646,0.013528296587025286,49.32416935629419,4,0.0010970927043335162
Visium_IZ_P10.h5ad,IZ,Infarct zone,Mast,3646,0.00584705308740039,21.318355556661825,0,0.0
Visium_IZ_P10.h5ad,IZ,Infarct zone,Myeloid,3646,0.19349774201521874,705.4927673874876,839,0.23011519473395503
Visium_IZ_P10.h5ad,IZ,Infarct zone,Neuronal,3646,0.009106328044423302,33.20167204996736,1,0.00027427317608337906
Visium_IZ_P10.h5ad,IZ,Infarct zone,Pericyte,3646,0.04905549786811056,178.8563452271311,13,0.0035655512890839275
Visium_IZ_P10.h5ad,IZ,Infarct zone,Cycling.cells,3646,0.14439484641308795,526.4636100221187,395,0.10833790455293472
Visium_IZ_P10.h5ad,IZ,Infarct zone,vSMCs,3646,0.01798742419338259,65.58214860907292,41,0.011245200219418541
Visium_RZ_P11.h5ad,RZ,Remote zone,Adipocyte,2016,0.002457416261062816,4.9541511823026365,0,0.0
Visium_RZ_P11.h5ad,RZ,Remote zone,Cardiomyocyte,2016,0.21666937120018986,436.80545233958276,425,0.21081349206349206
Visium_RZ_P11.h5ad,RZ,Remote zone,Endothelial,2016,0.25291740725181716,509.88149301966337,756,0.375
Visium_RZ_P11.h5ad,RZ,Remote zone,Fibroblast,2016,0.21891433598678833,441.3313013493653,505,0.25049603174603174
Visium_RZ_P11.h5ad,RZ,Remote zone,Lymphoid,2016,0.014607308807759225,29.4483345564426,4,0.001984126984126984
Visium_RZ_P11.h5ad,RZ,Remote zone,Mast,2016,0.007436835820462899,14.992661014053205,6,0.002976190476190476
Visium_RZ_P11.h5ad,RZ,Remote zone,Myeloid,2016,0.12770999863602306,257.4633572502225,240,0.11904761904761904
Visium_RZ_P11.h5ad,RZ,Remote zone,Neuronal,2016,0.011370750485961468,22.92343297969832,2,0.000992063492063492
Visium_RZ_P11.h5ad,RZ,Remote zone,Pericyte,2016,0.09667430690957428,194.89540272970174,40,0.01984126984126984
Visium_RZ_P11.h5ad,RZ,Remote zone,Cycling.cells,2016,0.028082295109165385,56.61390694007741,6,0.002976190476190476
Visium_RZ_P11.h5ad,RZ,Remote zone,vSMCs,2016,0.023159973531195584,46.6905066388903,32,0.015873015873015872
